2017-11-09 16:53:59,972 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.adpd.adonis:adonisSpringMVC:1.0-SNAPSHOT @ L:\alura\mvn\adonisSpringMVC\pom.xml.
2017-11-09 16:54:00,002 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-09 16:54:00,002 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory L:\alura\mvn\adonisSpringMVC\src\main\resources
2017-11-09 16:54:00,003 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-09 16:54:00,003 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory L:\alura\mvn\adonisSpringMVC\src\test\resources
2017-11-09 16:54:00,765 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.adpd.adonis:adonisSpringMVC:1.0-SNAPSHOT @ L:\alura\mvn\adonisSpringMVC\pom.xml.
2017-11-09 16:54:01,087 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-09 16:54:01,088 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory L:\alura\mvn\adonisSpringMVC\src\main\resources
2017-11-09 16:54:01,090 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-09 16:54:01,091 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory L:\alura\mvn\adonisSpringMVC\src\test\resources
2017-11-09 16:57:47,795 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.javawebtutor:JPAMavenExample:1.0-SNAPSHOT @ L:\alura\mvn\JPAMavenExample\pom.xml.
2017-11-09 16:57:48,302 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /JPAMavenExample/src/main/java
2017-11-09 16:57:48,303 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /JPAMavenExample/src/test/java
2017-11-09 16:57:48,351 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 0 sec
2017-11-09 16:57:48,584 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.javawebtutor:JPAMavenExample:1.0-SNAPSHOT @ L:\alura\mvn\JPAMavenExample\pom.xml.
2017-11-09 16:57:48,618 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-09 16:57:48,619 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory L:\alura\mvn\JPAMavenExample\src\main\resources
2017-11-09 16:57:48,620 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-09 16:57:48,620 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory L:\alura\mvn\JPAMavenExample\src\test\resources
2017-11-09 16:57:49,481 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.javawebtutor:JPAMavenExample:1.0-SNAPSHOT @ L:\alura\mvn\JPAMavenExample\pom.xml.
2017-11-09 16:57:49,671 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-09 16:57:49,671 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory L:\alura\mvn\JPAMavenExample\src\main\resources
2017-11-09 16:57:49,672 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-09 16:57:49,673 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory L:\alura\mvn\JPAMavenExample\src\test\resources
2017-11-09 16:58:33,133 [Worker-3] INFO  o.e.m.i.launch.MavenLaunchDelegate - L:\alura\mvn\JPAMavenExample
2017-11-09 16:58:33,134 [Worker-3] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2017-11-09 16:58:37,925 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-09 16:58:37,925 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory L:\alura\mvn\JPAMavenExample\src\main\resources
2017-11-09 16:58:37,926 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-09 16:58:37,927 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory L:\alura\mvn\JPAMavenExample\src\test\resources
2017-11-09 16:59:36,466 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.javawebtutor:JPAMavenExample:1.0-SNAPSHOT @ L:\alura\mvn\JPAMavenExample\pom.xml.
2017-11-09 16:59:37,227 [Worker-9] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/eclipse/persistence/javax.persistence/2.0.0/javax.persistence-2.0.0.pom
2017-11-09 16:59:37,662 [Worker-9] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/eclipse/persistence/javax.persistence/2.0.0/javax.persistence-2.0.0.pom
